"","wave","happiness","religionmem","freedom","health","income"
"747",1,3,2,5,4,2
"748",1,2,2,8,2,1
"749",1,2,2,9,1,NA
"750",1,2,2,5,2,9
"751",1,2,2,5,4,NA
"752",1,2,2,10,2,NA
"753",1,2,2,9,2,10
"754",1,1,2,10,1,NA
"755",1,2,2,8,2,10
"756",1,4,2,6,5,8
"757",1,1,2,10,1,9
"758",1,3,2,1,3,9
"759",1,3,2,3,3,NA
"760",1,2,2,4,2,10
"761",1,2,1,9,1,10
"762",1,2,1,10,3,10
"763",1,2,2,8,3,7
"764",1,2,2,8,4,7
"765",1,1,2,9,2,1
"766",1,1,2,5,2,10
"767",1,1,2,6,1,10
"768",1,2,2,8,2,10
"769",1,1,2,7,1,7
"770",1,1,1,9,1,9
"771",1,1,1,9,2,7
"772",1,1,1,9,2,NA
"773",1,2,2,8,2,10
"774",1,2,1,9,2,10
"775",1,1,1,6,1,8
"776",1,1,2,1,1,10
"777",1,1,2,8,1,9
"778",1,2,1,7,3,6
"779",1,2,2,6,1,5
"780",1,2,2,9,1,10
"781",1,2,2,9,3,7
"782",1,3,2,NA,1,NA
"783",1,2,2,8,1,10
"784",1,1,2,NA,4,1
"785",1,1,1,6,1,7
"786",1,2,2,5,1,10
"787",1,2,2,5,1,10
"788",1,2,2,7,3,8
"789",1,2,2,7,2,10
"790",1,2,2,7,2,10
"791",1,2,2,8,1,10
"792",1,1,2,8,1,NA
"793",1,1,2,10,1,8
"794",1,2,2,7,2,10
"795",1,2,2,8,3,4
"796",1,2,2,7,1,NA
"797",1,2,2,2,4,NA
"798",1,2,2,8,2,10
"799",1,2,2,4,1,8
"800",1,1,1,9,1,10
"801",1,2,1,10,4,10
"802",1,1,1,9,2,NA
"803",1,2,2,5,4,9
"804",1,2,2,NA,3,5
"805",1,2,1,7,2,NA
"806",1,1,2,9,3,10
"807",1,1,2,10,2,NA
"808",1,2,2,10,2,NA
"809",1,2,2,8,2,7
"810",1,1,2,3,2,3
"811",1,1,2,10,1,7
"812",1,1,2,8,2,NA
"813",1,1,1,10,2,8
"814",1,2,2,8,2,5
"815",1,2,2,9,2,10
"816",1,2,2,8,3,10
"817",1,2,2,8,2,NA
"818",1,1,2,8,2,3
"819",1,2,2,4,2,NA
"820",1,1,2,4,2,7
"821",1,2,2,7,1,NA
"822",1,2,1,8,3,10
"823",1,2,2,8,3,7
"824",1,2,2,9,1,10
"825",1,2,1,10,1,10
"826",1,2,2,6,1,8
"827",1,3,2,3,4,10
"828",1,1,2,9,2,10
"829",1,1,1,9,3,9
"830",1,2,2,10,2,10
"831",1,3,2,1,1,NA
"832",1,2,2,8,3,10
"833",1,1,2,9,2,10
"834",1,2,2,10,2,10
"835",1,2,2,8,1,3
"836",1,1,2,5,1,9
"837",1,2,2,8,3,10
"838",1,1,2,5,2,10
"839",1,2,2,8,1,NA
"840",1,1,2,10,2,NA
"841",1,2,2,10,1,8
"842",1,2,2,5,1,NA
"843",1,1,1,8,1,10
"844",1,2,2,7,2,7
"845",1,1,1,10,1,10
"846",1,2,1,10,1,9
"847",1,1,2,8,1,10
"848",1,2,2,8,1,9
"849",1,2,2,8,2,NA
"850",1,3,2,8,3,9
"851",1,1,1,8,1,8
"852",1,2,2,9,1,10
"853",1,2,2,9,2,10
"854",1,2,2,9,2,10
"855",1,1,2,7,1,10
"856",1,1,2,7,2,10
"857",1,2,2,5,1,10
"858",1,2,1,7,1,8
"859",1,2,2,9,2,9
"860",1,2,2,8,3,8
"861",1,1,1,8,1,10
"862",1,1,1,10,2,10
"863",1,2,2,8,2,10
"864",1,1,2,10,1,10
"865",1,2,2,10,2,10
"866",1,2,2,5,2,10
"867",1,2,2,5,2,9
"868",1,1,2,8,1,NA
"869",1,2,2,9,2,NA
"870",1,1,1,8,1,10
"871",1,2,2,8,1,10
"872",1,2,2,5,1,NA
"873",1,2,2,10,2,10
"874",1,2,1,10,1,10
"875",1,1,2,7,1,10
"876",1,3,2,5,1,NA
"877",1,1,2,9,2,10
"878",1,2,2,6,2,10
"879",1,2,2,8,2,5
"880",1,2,2,9,3,10
"881",1,2,1,5,1,10
"882",1,2,2,9,2,10
"883",1,1,2,10,1,10
"884",1,3,2,6,3,10
"885",1,1,2,10,1,NA
"886",1,2,2,10,1,10
"887",1,1,2,8,1,10
"888",1,2,2,8,1,10
"889",1,2,2,NA,3,10
"890",1,1,2,8,1,NA
"891",1,2,2,10,2,NA
"892",1,1,2,6,1,10
"893",1,1,2,9,1,NA
"894",1,2,2,9,1,9
"895",1,2,2,5,2,8
"896",1,2,2,8,2,10
"897",1,1,2,9,1,10
"898",1,2,2,7,2,10
"899",1,2,2,10,1,10
"900",1,2,2,7,3,10
"901",1,3,2,2,5,3
"902",1,2,2,7,2,10
"903",1,2,2,6,2,10
"904",1,2,2,7,1,2
"905",1,2,2,7,1,10
"906",1,1,2,3,2,10
"907",1,3,1,8,3,5
"908",1,1,2,8,2,10
"909",1,1,2,8,2,10
"910",1,1,1,10,2,10
"911",1,2,2,6,3,NA
"912",1,2,2,10,1,10
"913",1,2,2,9,2,10
"914",1,2,2,10,1,9
"915",1,1,2,7,3,NA
