id,gender,ACE1,ACE2,ACE3,ACE4,ACE5,ACE6,ACE7,ACE8,ACE9,ACE10,RSQ1,RSQ2,RSQ3,RSQ4,RSQ5,RSQ6,RSQ7,RSQ8,RSQ9,RSQ10,RSQ11,RSQ12,RSQ13,RSQ14,RSQ15,RSQ16,RSQ17,RSQ18,RSQ19,RSQ20,RSQ21,RSQ22,RSQ23,RSQ24,RSQ25,RSQ26,RSQ27,RSQ28,RSQ29,RSQ30
63,1,0,0,0,0,0,0,0,0,0,0,1,1,5,5,3,5,2,5,1,5,3,1,1,4,5,3,1,3,4,2,4,5,1,1,3,4,5,1,1,4
64,1,0,0,0,0,0,0,0,0,0,0,2,5,3,4,2,4,3,2,2,1,2,2,2,3,4,3,3,3,5,3,2,3,2,2,2,2,3,2,3,3
65,2,0,0,0,0,0,0,0,0,0,0,2,4,4,3,5,3,3,2,2,2,4,5,3,5,5,5,4,2,3,2,3,1,2,5,4,3,3,1,2,4
66,2,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,5,1,1,1,3,1,3,1,3,3,1,1,1,3,1,1,3,1,1,1,3,3,1,1,3
67,2,1,0,1,0,0,1,1,1,1,0,1,5,5,5,5,5,5,5,5,1,5,5,1,5,5,1,3,3,5,1,5,1,5,1,1,5,2,1,1,5
68,1,0,0,0,0,0,0,0,0,0,0,3,4,4,3,5,3,1,3,1,3,4,5,3,4,3,4,1,1,4,2,3,2,1,1,1,3,4,NA,2,4
69,1,1,1,1,1,0,1,0,1,0,0,5,3,1,5,4,2,5,5,5,3,5,5,5,5,5,5,5,4,5,4,5,4,5,1,4,5,2,4,1,1
70,2,0,0,0,0,1,1,1,1,1,1,4,4,4,4,1,3,3,3,2,2,2,1,1,2,4,3,2,3,5,1,2,3,1,2,2,4,4,3,2,4
71,1,0,0,0,0,0,0,0,0,0,0,3,4,3,5,2,1,3,4,4,4,3,2,1,5,4,4,1,3,3,3,4,2,3,1,3,3,5,3,1,3
72,1,1,1,1,0,0,1,0,0,1,0,5,5,1,1,5,4,5,2,5,2,5,5,5,1,1,5,5,1,5,4,5,5,5,4,5,5,2,5,2,1
73,1,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,1,4,5,5,3,5,5,5,5,5,5,5,3,5,3,5,3,5,3,5,3,4,5,2,5
74,2,1,1,0,1,0,1,0,0,1,0,3,4,5,5,4,2,3,4,5,3,4,4,4,5,3,5,3,4,4,4,5,4,5,2,2,2,2,4,2,4
75,1,1,0,0,0,0,0,0,0,0,0,2,3,4,4,2,1,2,4,1,3,1,2,1,5,5,4,1,1,2,1,1,1,1,1,NA,3,5,1,1,5
76,1,0,0,0,0,0,1,0,0,0,0,3,4,5,1,5,3,3,3,4,3,4,5,3,4,4,4,3,1,4,2,5,2,3,2,2,3,4,4,2,4
77,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1
78,2,1,1,0,0,0,1,0,1,0,0,5,5,2,1,5,2,5,3,5,1,3,5,5,3,4,4,3,1,3,5,4,2,3,3,1,5,3,5,5,2
79,2,0,0,0,0,0,0,0,0,1,0,3,5,2,4,4,2,5,5,5,2,3,4,3,5,5,5,3,2,3,4,3,2,5,3,2,3,5,1,4,2
80,2,0,0,0,0,0,0,0,0,0,0,3,5,2,5,5,1,3,3,2,2,3,5,5,4,4,3,2,2,5,3,1,2,1,2,3,2,5,1,5,4
81,2,0,0,0,0,0,0,0,0,0,0,2,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
82,1,1,1,0,0,0,0,0,0,0,0,3,5,1,3,1,3,3,3,1,3,2,1,1,4,3,4,3,3,5,3,4,3,4,1,1,4,3,4,3,5
83,2,0,1,0,0,0,1,1,0,1,0,3,5,3,2,5,3,5,3,2,1,3,5,2,4,3,4,1,1,5,3,4,2,4,3,2,5,4,4,2,4
84,1,0,0,0,0,0,0,0,0,0,0,4,4,2,4,5,5,5,5,5,3,5,5,5,5,2,5,3,5,5,5,5,5,5,5,5,5,3,4,4,2
