"","wave","Q288","Q252"
"527",3,NA,3
"528",3,NA,4
"529",3,NA,4
"530",3,5,3
"531",3,NA,4
"532",3,9,4
"533",3,3,3
"534",3,NA,3
"535",3,NA,3
"536",3,NA,3
"537",3,9,2
"538",3,8,3
"539",3,10,2
"540",3,9,4
"541",3,10,3
"542",3,10,3
"543",3,10,3
"544",3,NA,2
"545",3,7,4
"546",3,4,3
"547",3,8,3
"548",3,9,3
"549",3,9,3
"550",3,10,3
"551",3,9,3
"552",3,4,2
"553",3,5,3
"554",3,9,1
"555",3,4,1
"556",3,NA,4
"557",3,6,4
"558",3,7,3
"559",3,8,3
"560",3,NA,4
"561",3,9,2
"562",3,10,3
"563",3,8,3
"564",3,10,3
"565",3,1,3
"566",3,3,3
"567",3,9,3
"568",3,NA,4
"569",3,10,2
"570",3,NA,2
"571",3,6,1
"572",3,6,3
"573",3,4,3
"574",3,6,1
"575",3,7,2
"576",3,5,2
"577",3,3,2
"578",3,5,3
"579",3,3,3
"580",3,8,3
"581",3,2,2
"582",3,7,3
"583",3,5,2
"584",3,6,4
"585",3,2,3
"586",3,2,2
"587",3,8,3
"588",3,7,3
"589",3,4,2
"590",3,3,3
"591",3,7,4
"592",3,7,3
"593",3,8,2
"594",3,6,3
"595",3,6,3
"596",3,10,3
"597",3,9,2
"598",3,5,2
"599",3,9,3
"600",3,8,3
"601",3,9,3
"602",3,5,3
"603",3,5,1
"604",3,8,3
"605",3,9,3
"606",3,9,3
"607",3,8,4
"608",3,5,3
"609",3,7,3
"610",3,4,4
"611",3,8,2
"612",3,9,3
"613",3,5,2
"614",3,10,3
"615",3,9,3
"616",3,5,3
"617",3,2,4
"618",3,6,3
"619",3,9,3
"620",3,NA,3
"621",3,4,4
"622",3,7,3
"623",3,9,2
"624",3,NA,3
"625",3,9,3
"626",3,5,3
"627",3,8,2
"628",3,8,2
"629",3,7,2
"630",3,8,4
"631",3,10,3
"632",3,NA,2
"633",3,6,4
"634",3,6,2
"635",3,6,3
"636",3,NA,3
"637",3,5,2
"638",3,8,3
"639",3,NA,3
"640",3,10,2
"641",3,9,3
"642",3,NA,3
"643",3,8,3
"644",3,4,3
"645",3,NA,3
"646",3,9,3
"647",3,9,3
"648",3,9,3
"649",3,5,3
"650",3,9,3
"651",3,2,3
"652",3,9,3
"653",3,5,3
"654",3,7,3
"655",3,6,1
"656",3,4,3
"657",3,10,3
"658",3,5,4
"659",3,7,3
"660",3,9,2
"661",3,7,3
"662",3,7,3
"663",3,7,4
"664",3,2,1
"665",3,4,3
"666",3,3,3
"667",3,7,3
"668",3,4,3
"669",3,9,3
"670",3,5,4
"671",3,6,4
"672",3,2,NA
"673",3,5,2
"674",3,NA,2
"675",3,4,3
"676",3,4,2
"677",3,NA,3
"678",3,5,3
"679",3,4,3
"680",3,9,3
"681",3,4,3
"682",3,9,3
"683",3,6,3
"684",3,3,2
"685",3,10,2
"686",3,8,3
"687",3,NA,2
"688",3,5,3
"689",3,7,3
"690",3,2,1
"691",3,6,2
"692",3,6,3
"693",3,9,4
"694",3,5,3
"695",3,7,2
"696",3,7,4
"697",3,9,2
"698",3,10,1
"699",3,7,NA
"700",3,3,3
"701",3,6,3
"702",3,5,3
"703",3,NA,4
"704",3,NA,2
"705",3,10,3
"706",3,7,4
"707",3,8,2
"708",3,3,NA
"709",3,3,3
"710",3,3,2
"711",3,NA,3
"712",3,7,2
"713",3,3,4
"714",3,7,NA
"715",3,8,2
"716",3,NA,NA
"717",3,4,3
"718",3,9,NA
"719",3,8,2
"720",3,8,2
"721",3,NA,2
"722",3,10,1
"723",3,8,3
"724",3,NA,3
"725",3,8,3
"726",3,4,4
"727",3,3,3
"728",3,6,3
"729",3,8,3
"730",3,10,3
"731",3,8,1
"732",3,10,3
"733",3,5,4
"734",3,4,4
"735",3,1,3
"736",3,2,2
